mode	error	time/s	<Ewe/V>	
3	0	5.362549864530592E+002	3.0685610E-001
3	0	5.367549864404282E+002	3.0706459E-001
3	0	5.372549864277971E+002	3.0727297E-001
3	0	5.377549864151661E+002	3.0748957E-001
3	0	5.382549864025350E+002	3.0769753E-001
3	0	5.387549863899039E+002	3.0790251E-001
3	0	5.392549863772729E+002	3.0810758E-001
3	0	5.397549863646418E+002	3.0831137E-001
3	0	5.402549863520107E+002	3.0851090E-001
3	0	5.407549863393797E+002	3.0872113E-001
3	0	5.412549863267486E+002	3.0892122E-001
3	0	5.417549863141176E+002	3.0911142E-001
3	0	5.422549863014865E+002	3.0930960E-001
3	0	5.427549862888554E+002	3.0949968E-001
3	0	5.432549862762244E+002	3.0969456E-001
3	0	5.437549862635933E+002	3.0988947E-001
3	0	5.442549862509622E+002	3.1008255E-001
3	0	5.447549862383312E+002	3.1027439E-001
3	0	5.452549862257001E+002	3.1046617E-001
3	0	5.457549862130691E+002	3.1065989E-001
3	0	5.462549862004380E+002	3.1084192E-001
3	0	5.467549861878069E+002	3.1102997E-001
3	0	5.472549861751759E+002	3.1122011E-001
3	0	5.477549861625448E+002	3.1140140E-001
3	0	5.482549861499137E+002	3.1157714E-001
3	0	5.487549861372827E+002	3.1176570E-001
3	0	5.492549861246516E+002	3.1194767E-001
3	0	5.497549861120206E+002	3.1212488E-001
3	0	5.502549860993895E+002	3.1230679E-001
3	0	5.503049860981264E+002	3.1241283E-001
